filename,label,total_edge_pixels,white_pixel_count,white_pixel_upper_ratio,white_column_peaks,num_defects,extent,hu_moment_1
1000.jpg,0,108,586,0.3447098976109215,1,6,0.527,2.955297713986289
1001.jpg,0,110,582,0.3384879725085911,1,7,0.523,2.955856998644921
1002.jpg,0,109,587,0.34582623509369675,1,8,0.528,2.9541838081586307
1003.jpg,0,108,584,0.3476027397260274,1,8,0.525,2.949700031729318
1004.jpg,0,106,578,0.34429065743944637,1,6,0.5185,2.9519662098699926
1005.jpg,0,106,590,0.3525423728813559,1,9,0.5305,2.9518863664885484
1006.jpg,0,107,593,0.35413153456998314,1,9,0.5335,2.957068127296061
1007.jpg,0,107,593,0.35581787521079256,1,7,0.5335,2.9539808248687502
1008.jpg,0,106,586,0.36006825938566556,1,6,0.5542105263157895,2.9471563489969586
1009.jpg,0,107,583,0.36192109777015435,1,9,0.5235,2.9491691890296803
1010.jpg,0,108,589,0.35144312393887944,1,8,0.5295,2.953252638634841
1011.jpg,0,109,599,0.3589315525876461,1,8,0.54,2.965438577142569
1012.jpg,0,110,590,0.34067796610169493,1,8,0.531,2.961514777850971
1013.jpg,0,108,591,0.3401015228426396,1,6,0.532,2.9623098565377153
1014.jpg,0,110,595,0.3445378151260504,1,7,0.536,2.951611393203905
1015.jpg,0,108,582,0.3402061855670103,1,7,0.523,2.95390042639195
1016.jpg,0,110,587,0.34582623509369675,1,7,0.528,2.9562030527812184
1017.jpg,0,111,590,0.3389830508474576,1,7,0.531,2.9587604109870695
1018.jpg,0,110,587,0.3390119250425894,1,7,0.528,2.961754193622076
1019.jpg,0,109,584,0.339041095890411,1,6,0.5245,2.9560847249290223
1020.jpg,0,110,594,0.3434343434343434,1,7,0.534,2.960574559779064
1021.jpg,0,110,598,0.3377926421404682,1,6,0.5385,2.9655603476074353
1022.jpg,0,110,600,0.33666666666666667,1,7,0.54,2.960003279429907
1023.jpg,0,110,590,0.3338983050847458,1,6,0.53,2.951041088697227
1024.jpg,0,110,600,0.3333333333333333,1,6,0.5405,2.967616713096552
1025.jpg,0,110,605,0.33884297520661155,1,6,0.545,2.967534802150606
1026.jpg,0,110,600,0.3383333333333333,1,8,0.5405,2.9607475311901226
1027.jpg,0,110,609,0.33497536945812806,1,6,0.55,2.9705745651295947
1028.jpg,0,109,607,0.34102141680395387,1,6,0.547,2.9631282702689736
1029.jpg,0,108,610,0.33934426229508197,1,7,0.5495,2.966446278322861
1030.jpg,0,109,603,0.34328358208955223,1,7,0.543,2.9555084635258875
